Academic Calendar,التقويم الاكاديمي
Afghanistan,افغانستان
Student Applicant,طلب تسجيل
You are not allowed to pay this fee,غير مسموح لك بسداد هذه الرسوم
The fee is paid successfully,تم سداد الرسوم بنجاح
Application Fee,رسوم التسجيل
Elective,اختياري
Compulsory,إجباري
Required Courses,المقرارات المطلوبة
Selected Courses,المقرارات المختارة
Available Courses,المقرارات المتاحة
Code,الرمز
Course Enrollment,تسجيل المقرارات
Arabic,العربية
Maximum number of hours,الحد الأقصى لعدد الساعات
Minimum number of hours,الحد الأدنى لعدد الساعات
Course added successfully,تم إضافة المقرر بنجاح
Course removed successfully,تم إزالة المقرر بنجاح
Remove,إزالة
Compulsory Courses,المقرارات الإجبارية
Confirmation,تأكيد
Are you sure you want to submit these courses?,هل أنت متأكد أنك تريد تسجيل هذه المقرارات؟
"The maximum number of hours that a student can select when applying for courses. If 0 is specified, there is no limit.","الحد الأقصى لعدد الساعات التي يمكن للطالب تحديدها عند اختيار المقرارات. إذا تم تحديد 0 ، فلا يوجد حد."
"The minimum number of hours that a student can select when applying for courses. If 0 is specified, there is no limit.","الحد الأدنى لعدد الساعات التي يمكن للطالب تحديدها عند اختيار المقرارات. إذا تم تحديد 0 ، فلا يوجد حد."
"Enabling this option will let the student select from the courses defined in program otherwise courses will be fetched from academic curriculum","سيؤدي تمكين هذا الخيار إلى السماح للطالب بالاختيار من المقرارات المحددة في البرنامج وإلا سيتم جلب المقرارات من المنهاج الأكاديمي"
amount,القيمة
Amount,القيمة
Card Number,رقم البطاقة
Upload Receipt,رفع إيصال
Security Code,رمز الحماية
Due Date,تاريخ الاستحقاق
"The total number of registered hours: {0}, hour rate: {1}","إجمالي عدد الساعات المسجلة: {0} ، معدل الساعة: {1}"
You have already registered the courses for this semester,لقد قمت بتسجيل المقررات لهذا الفصل من قبل
You are not registered in any program,أنت غير مسجل في أي برنامج
There are no grades to show.,لا يوجد درجات للعرض.
Transcript,كشف الدرجات
Graduated,ناجح
Failed,راسب
Drop Course Request,طلب إسقاط درس
Study Postponement Request,طلب تأجيل دراسي
Update Student Info,تحديث بيانات الطالب
Enrolled Courses,الدروس المسجلة
Personal Information,البيانات الشخصية
Don't have an account?,ليس لديك حساب؟
Login to {0},تسجيل الدخول إلى {0}
Complete Sign up,إتمام التسجيل
Native Language,اللغة الأم
Latest Educational Certificate,آخر شهادة تعليمية
Educational Level,المستوى التعليمي
Confirm Password,تأكيد كلمة السر
Passwords do not match,كلمات السر غير متطابقة
Please fill full name field.,الرجاء ملء حقل الاسم الكامل
Please fill password field.,الرجاء ملء حقل كلمة السر
Please fill confirm password field.,الرجاء ملء حقل تأكيد كلمة السر
Please fill nationality field.,الرجاء ملء حقل الجنسية
Please fill native language field.,الرجاء ملء حقل اللغة الأم
Please fill date of birth field.,الرجاء ملء حقل تاريخ الميلاد
Please fill latest educational certificate field.,الرجاء ملء حقل آخر شهادة تعليمية
Please fill educational level field.,الرجاء ملء حقل المستوى التعليمي
Please fill country field.,الرجاء ملء حقل الدولة
Please fill city field.,الرجاء ملء حقل المدينة
Please fill marital status field.,الرجاء ملء حقل الحالة الإجتماعية
Card Holder Name,اسم حامل البطاقة
Card number is not valid,رقم البطاقة غير صالح
Lessons,دروس
All Courses,جميع الدروس
Culmulative Grade Point Average,معدل الدرجات التراكمي
Course Virtual Room,غرفة الدرس الأفتراضية
Essential Book,كتاب أساسي
Additional Book,كتاب أضافي
Record,تسجيل
Article,مقالة
Discernment Talk,فصل الخطاب
Magazine,مجلة
Discussion Participation,مشاركة في النقاش
Major,التخصص
